,subject,region,raw SNR
424,11,Frontal Cortex,60.7908075085
425,18,Frontal Cortex,61.371377469
426,17,Frontal Cortex,67.8800326828
427,16,Frontal Cortex,65.7147746986
428,15,Frontal Cortex,105.635291616
429,19,Frontal Cortex,77.0119869859
430,22,Frontal Cortex,81.4973741033
431,12,Frontal Cortex,66.3384393928
432,10,Frontal Cortex,52.1456614813
433,05,Frontal Cortex,62.8700017252
434,09,Frontal Cortex,78.1382562796
435,08,Frontal Cortex,60.5017267165
436,07,Frontal Cortex,86.8633458093
437,06,Frontal Cortex,72.6901934474
438,14,Frontal Cortex,86.5143437786
439,04,Frontal Cortex,71.4430544493
440,02,Frontal Cortex,56.9776478073
441,13,Frontal Cortex,87.9671584433
