,Unnamed: 0,PID,Title,Paper-source,Included,Exclusion Reason,Exclusion Reason Subcategory,Keyword,prop_match,where_match
135,135.0,,"Sitaram,Ranganatha;Lee,Sangkyun;Ruiz,Sergio;Rana,Mohit;Veit,Ralf;Birbaumer,Niels;(2011)Real-time support vector classification and feedback of multiple emotional brain states.",Search 2,Exclude,multivariate: frontal rois or searchlights,between subjects,emotional states,,
136,136.0,,"Ward,Emily J;Chun,Marvin M;Kuhl,Brice A;(2013)Repetition suppression and multi-voxel pattern similarity differentially track implicit and explicit visual memory.",Search 2,Exclude,multivariate: frontal rois or searchlights,pattern similarity in frontal not predictive like repetition supression,,,
137,137.0,,"Shirer,W R;Ryali,S;Rykhlevskaia,E;Menon,V;Greicius,M D;(2012)Decoding subject-driven cognitive states with whole-brain connectivity patterns.",Search 2,Exclude,multivariate: frontal rois or searchlights,classified on functional connectivity,,,
138,138.0,,"Gotts,Stephen J;Milleville,Shawn C;Bellgowan,Patrick S F;Martin,Alex;(2011)Broad and narrow conceptual tuning in the human frontal lobes.",Search 2,Exclude,multivariate; accuracy not used,,,,
139,139.0,,"Ritchey,Maureen;Wing,Erik A;LaBar,Kevin S;Cabeza,Roberto;(2013)Neural similarity between encoding and retrieval is related to memory via hippocampal interactions.",Search 2,Exclude,multivariate; accuracy not used,"correlation, continuous predictor",,,
140,140.0,,"Xue,Gui;Dong,Qi;Chen,Chuansheng;Lu,Zhonglin;Mumford,Jeanette A;Poldrack,Russell A;(2010)Greater neural pattern similarity across repetitions is associated with better memory.",Search 2,Exclude,multivariate; accuracy not used,Correlation,,,
141,141.0,,"Corradi-Dell'Acqua,Corrado;Hofstetter,Christoph;Vuilleumier,Patrik;(2011)Felt and seen pain evoke the same local patterns of cortical activity in insular and cingulate cortex.",Search 2,Exclude,multivariate; accuracy not used,,,,
142,142.0,,"Visser,Renee M;Scholte,H Steven;Kindt,Merel;(2011)Associative learning increases trial-by-trial similarity of BOLD-MRI patterns.",Search 2,Exclude,multivariate; accuracy not used,,,,
143,143.0,,"Koten,Jan Willem;Lonnemann,Jan;Willmes,Klaus;Knops,Andre;(2011)Micro and macro pattern analyses of FMRI data support both early and late interaction of numerical and spatial information.",Search 2,Exclude,multivariate; accuracy not used,,number/space integration,,
144,144.0,,"Hassabis,Demis;Spreng,R Nathan;Rusu,Andrei A;Robbins,Clifford A;Mar,Raymond A;Schacter,Daniel L;(2013)Imagine All the People: How the Brain Creates and Uses Personality Models to Predict Behavior.",Search 2,Exclude,multivariate; accuracy not used,,,,
145,145.0,,"Rissman, Jesse Greely, Henry T Wagner, Anthony D (2010) Detecting individual memories through the neural decoding of memory states and past experience.",Search 2,Exclude,multivariate; accuracy not used,AUC,,,
146,146.0,,"Harel,Assaf;Kravitz,Dwight J;Baker,Chris I;(2014)Task context impacts visual object processing differentially across the cortex.",Search 2,Exclude,multivariate; accuracy not used,correlation,,,
147,147.0,,"Jimura, Koji; Poldrack, Russell a (2011) Analyses of regional-average activation and multivoxel pattern information tell complementary stories.",Search 2,Exclude,multivariate; accuracy not used,"correlation, continuous predictor",,,
148,148.0,,"Peelen,Marius V;Atkinson,Anthony P;Vuilleumier,Patrik;(2010)Supramodal representations of perceived emotions in the human brain.",Search 2,Exclude,multivariate; accuracy not used,Correlation,,,
149,149.0,,"Kuhn,Simone;Bodammer,Nils Christian;Brass,Marcel;(2010)Dissociating mental states related to doing nothing by means of fMRI pattern classification.",Search 2,Exclude,multivariate; accuracy not used,search light,inaction vs voluntary inaction,,
150,150.0,,"Lee,Yune-Sang;Turkeltaub,Peter;Granger,Richard;Raizada,Rajeev D S;(2012)Categorical speech processing in Broca's area: an fMRI study using multivariate pattern-based analysis.",Search 2,Exclude,multivariate; accuracy not used,search light,speech processing,,
151,151.0,,"Sawahata,Yasuhito;Komine,Kazuteru;Morita,Toshiya;Hiruma,Nobuyuki;(2013)Decoding humor experiences from brain activity of people viewing comedy movies.",Search 2,Exclude,multivariate; accuracy not used,AUC,,,
152,152.0,,"Bahlmann,Jorg;Korb,Franziska M;Gratton,Caterina;Friederici,Angela D;(2012)Levels of integration in cognitive control and sequence processing in the prefrontal cortex.",Search 2,Exclude,multivariate; accuracy not used,constructed voxel tuning curves,,,
153,153.0,,"Fairhall,Scott L;Caramazza,Alfonso;(2013)Brain regions that represent amodal conceptual knowledge.",Search 2,Exclude,multivariate; accuracy not used,RSA,,,
154,154.0,,"Kahnt,Thorsten;Heinzle,Jakob;Park,Soyoung Q;Haynes,John-Dylan;(2011)Decoding different roles for vmPFC and dlPFC in multi-attribute decision making.",Search 2,Exclude,multivariate; accuracy not used,z-scores from correlation coefficient._,,,
155,155.0,,"FitzGerald,Thomas H B;Friston,Karl J;Dolan,Raymond J;(2012)Action-specific value signals in reward-related regions of the human brain.",Search 2,Exclude,multivariate; accuracy not used,p-values,,,
156,156.0,,"Peelen,Marius V;Caramazza,Alfonso;(2012)Conceptual object representations in human anterior temporal cortex.",Search 2,Exclude,multivariate; accuracy not used,correlation matrix,,,
157,157.0,,"Hebart,Martin N;Donner,Tobias H;Haynes,John-Dylan;(2012)Human visual and parietal cortex encode visual choices independent of motor plans.",Search 2,Exclude,multivariate; accuracy not used,coordinates of significant search light,,,
158,158.0,,"Cohen,Jessica R;Sreenivasan,Kartik K;D'Esposito,Mark;(2014)Correspondence between stimulus encoding- and maintenance-related neural processes underlies successful working memory.",NOT IN Search 2,Exclude,multivariate; accuracy not used,RSA,,,
159,159.0,,"Corradi-Dell'acqua,Corrado;Hofstetter,Christoph;Vuilleumier,Patrik;(2013)Cognitive and affective theory of mind share the same local patterns of activity in posterior temporal but not medial prefrontal cortex.",Search 2,Exclude,multivariate; accuracy not used,z-scores from correlation coefficient._,,,
160,160.0,,"Zheng,Zane Z;Vicente-Grabovetsky,Alejandro;MacDonald,Ewen N;Munhall,Kevin G;Cusack,Rhodri;Johnsrude,Ingrid S;(2013)Multivoxel patterns reveal functionally differentiated networks underlying auditory feedback processing of speech.",Search 2,Exclude,multivariate; accuracy not used,?,,,
161,161.0,29,Sam J. Gilbert (2011). Decoding the Content of Delayed Intentions,Search 2,Exclude,multivariate; accuracy not used,,intention,,
162,162.0,17,"Li, Sheng Mayhew, Stephen D Kourtzi, Zoe (2009) Learning shapes the representation of behavioral choice in the human brain.",Search 2,Exclude,multivariate; accuracy not used,,task identity,,
163,163.0,19,"McNamee, Daniel Rangel, Antonio O'Doherty, John P (2013) Category-dependent and category-independent goal- value codes in human ventromedial prefrontal cortex",Search 2,Exclude,multivariate; accuracy not used,,value,,
164,164.0,27,"Momennejad,Ida;Haynes,John-Dylan;(2012)Human anterior prefrontal cortex encodes the 'what' and 'when' of future intentions.",Search 2,Exclude,multivariate; accuracy not used,t-values,intention,,
165,165.0,,"Wang,Megan;Arteaga,Daniel;He,Biyu J;(2013)Brain mechanisms for simple perception and bistable perception.",Search 2,Exclude,multivariate; accuracy not used,t-values,,,
166,166.0,14,"Kahnt, Thorsten Heinzle, Jakob Park, Soyoung Q Haynes, John-Dylan (2010) The neural code of reward anticipation in human orbitofrontal cortex.",Search 2,Exclude,multivariate; accuracy not used,AUC,value,,
167,167.0,15,"Kahnt, Thorsten Heinzle, Jakob Park, Soyoung Q Haynes, John-Dylan (2011) Decoding the Formation of Reward Predictions across Learning",Search 2,Exclude,multivariate; accuracy not used,AUC,value,,
168,168.0,38,"Todd, Michael T Nystrom, Leigh E Cohen, Jonathan D (2013). Confounds in multivariate pattern analysis: Theory and rule representation case study.",Search 2,Exclude,multivariate; accuracy not used,,S-R Rule,,
169,169.0,45,"Simanova,Irina;Hagoort,Peter;Oostenveld,Robert;van Gerven,Marcel A J;(2014)Modality-independent decoding of semantic information from the human brain.",Search 2,Exclude,multivariate; accuracy not used,,stimuli identity_,,
170,170.0,34,"Nee,Derek Evan;Brown,Joshua W;(2012)Rostral-caudal gradients of abstraction revealed by multi-variate pattern analysis of working memory.",Search 2,Exclude,multivariate; accuracy not used,just z-score.,S-R Rule,,
171,171.0,,"Evans,S;Kyong,J S;Rosen,S;Golestani,N;Warren,J E;McGettigan,C;Mourao-Miranda,J;Wise,R J S;Scott,S K;(2013)The Pathways for Intelligible Speech: Multivariate and Univariate Perspectives.",Search 2,Exclude,multivariate; accuracy not used,coordinates of significant search light,,,
172,172.0,,"Hauser,Maximilian F A;Hofmann,Juliane;Opitz,Bertram;(2012)Rule and similarity in grammar: their interplay and individual differences in the brain.",Search 2,Exclude,Univariate,,,,
173,173.0,,"Herve,Pierre-Yves;Razafimandimby,Annick;Vigneau,Mathieu;Mazoyer,Bernard;Tzourio-Mazoyer,Nathalie;(2012)Disentangling the brain networks supporting affective speech comprehension.",Search 2,Exclude,Univariate,,,,
